freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,UK,PC,MK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,MT	: m	: m	0.23 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,NL	: m	: m	: m	5.25 i	6.15 i	18.88 i
A,G3000,UK,PC,NO	: m	: m	: m	: m	: m	: m
A,G3000,UK,PC,PL	0.01 i	0.01 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,PT	0.00 i	0.00 i	0.00 i	0.00 i	0.13 i	0.00 i
A,G3000,UK,PC,RO	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,RS	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,SE	0.00 i	0.00 i	0.61 i	0.73 i	0.73 i	1.05 i
A,G3000,UK,PC,SI	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,SK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,TR	0.03 i	0.04 i	0.09 i	0.00 i	0.00 i	0.00 i
A,G3000,UK,PC,UA	1.14 i	3.41 i	1.84 i	3.28 i	1.07 i	1.20 i
A,G3000,UK,PC,UK	0.51 i	0.96 i	0.57 i	0.55 i	0.34 i	: m
A,G3000,UK,PC,XK	: m	: m	: m	: m	: m	: m
A,G3000,US,PC,AL	: m	: m	: m	: m	: m	: m
A,G3000,US,PC,AT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,BA	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,BE	0.00 i	0.00 i	0.03 i	0.29 i	1.79 i	3.96 i
A,G3000,US,PC,BG	0.00 i	0.00 i	0.00 i	0.00 i	0.87 i	5.43 i
A,G3000,US,PC,CY	: m	: m	: m	: m	: m	: m
A,G3000,US,PC,CZ	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,DE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.40 i
A,G3000,US,PC,DK	: m	: m	: m	: m	: m	0.00 i
A,G3000,US,PC,EE	0.00 i	0.00 i	0.00 i	0.00 i	0.03 i	0.71 i
A,G3000,US,PC,EL	0.00 i	0.08 i	0.17 i	2.14 i	4.82 i	25.70 i
A,G3000,US,PC,ES	0.00 i	0.23 i	2.20 i	0.87 i	11.36 i	15.89 i
A,G3000,US,PC,FI	0.00 i	0.00 i	0.00 i	0.01 i	0.02 i	0.29 i
A,G3000,US,PC,FR	0.00 i	0.00 i	0.01 i	0.39 i	3.52 i	2.88 i
A,G3000,US,PC,GE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,HR	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,HU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,IE	0.00 i	0.00 i	0.10 i	1.36 i	3.41 i	0.00 i
A,G3000,US,PC,IS	: m	: m	: m	: m	: m	: m
A,G3000,US,PC,IT	0.00 i	0.10 i	0.12 i	0.96 i	2.35 i	2.72 i
A,G3000,US,PC,LI	: m	: m	0.01 i	: m	0.00 i	0.00 i
A,G3000,US,PC,LT	0.00 i	0.00 i	7.20 i	0.00 i	3.03 i	20.69 i
A,G3000,US,PC,LU	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,LV	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,MD	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,ME	: m	: m	: m	: m	: m	: m
A,G3000,US,PC,MK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,MT	: m	: m	8.05 i	15.86 i	2.40 i	18.82 i
A,G3000,US,PC,NL	: m	: m	: m	1.14 i	4.36 i	4.84 i
A,G3000,US,PC,NO	: m	: m	: m	: m	: m	: m
A,G3000,US,PC,PL	0.00 i	0.00 i	0.60 i	0.55 i	5.49 i	5.80 i
A,G3000,US,PC,PT	0.00 i	1.98 i	8.49 i	8.43 i	21.44 i	18.87 i
A,G3000,US,PC,RO	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,RS	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,SE	0.00 i	0.00 i	0.00 i	0.05 i	0.21 i	0.27 i
A,G3000,US,PC,SI	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.01 i
A,G3000,US,PC,SK	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,US,PC,TR	0.00 i	0.52 i	1.39 i	0.89 i	2.70 i	6.22 i
A,G3000,US,PC,UA	0.00 i	0.01 i	0.05 i	0.15 i	0.45 i	9.32 i
A,G3000,US,PC,UK	0.00 i	0.00 i	0.20 i	2.59 i	6.40 i	: m
A,G3000,US,PC,XK	: m	: m	: m	: m	: m	: m
